name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Russia, Krasnodar",2022-05-30,31,14,23,31,14,23.1,15.1,64.1,0,0,0,,0,0,25.9,18,76,1013.3,0,10,336.9,29,9,60,2022-05-30T04:41:57,2022-05-30T20:01:53,0,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-05-31,33,16,25.2,34.6,16,26.1,18.5,68,0.2,100,8.33,rain,0,0,36,18,263.3,1012,6.9,10,306.5,26.4,9,75,2022-05-31T04:41:20,2022-05-31T20:02:45,0.03,Rain,Clear conditions throughout the day with afternoon rain.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-06-01,33,18,25.4,32.4,18,25.5,16.8,61.8,0.8,100,8.33,rain,0,0,36,14.4,117.9,1012.6,5,10,334.5,28.8,9,60,2022-06-01T04:40:46,2022-06-01T20:03:37,0.06,Rain,Clear conditions throughout the day with afternoon rain.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-06-02,32,15,24.5,32.9,15,24.7,16.6,63.9,0,0,0,,0,0,27,21.6,59.6,1013.6,0,10,342.9,29.6,9,60,2022-06-02T04:40:13,2022-06-02T20:04:27,0.1,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-06-03,27,17,22.4,28.2,17,22.6,16,67.4,0,0,0,,0,0,19.1,18,60.5,1013.5,0,10,314.5,27.1,9,60,2022-06-03T04:39:43,2022-06-03T20:05:15,0.13,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-06-04,32,16,24.1,33.5,16,24.5,16.7,64.9,0,0,0,,0,0,26.6,18,29.3,1011.7,0,10,317.8,27.5,9,60,2022-06-04T04:39:15,2022-06-04T20:06:02,0.16,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-06-05,32,19,25.8,32.9,19,26.2,17.5,61.9,0.4,100,8.33,rain,0,0,26.3,18,276.7,1008.9,6,10,323,28,9,60,2022-06-05T04:38:50,2022-06-05T20:06:47,0.2,Rain,Clear conditions throughout the day with rain.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-06-06,28,18,23.4,28.6,18,23.6,17.1,69.9,0,0,0,,0,0,31.3,25.2,11.2,1009.9,43.8,9.9,277.4,24,9,10,2022-06-06T04:38:27,2022-06-06T20:07:31,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"34929099999,URKK"
"Russia, Krasnodar",2022-06-07,29,16,22.7,28.4,16,22.6,11.9,52,0,0,0,,0,0,43.2,28.8,49.8,1010.9,1.9,10,306.3,26.4,8,10,2022-06-07T04:38:06,2022-06-07T20:08:12,0.25,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-06-08,30,16,23.6,29.4,16,23.5,13,52.9,0,0,0,,0,0,39.2,25.2,49.3,1009.1,0,10,273.3,23.6,9,30,2022-06-08T04:37:47,2022-06-08T20:08:52,0.3,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-06-09,25,17,21.3,25,17,21.3,14.5,66.1,0,0,0,,0,0,36,21.6,93.6,1008.3,9.8,10,284.7,24.4,8,30,2022-06-09T04:37:31,2022-06-09T20:09:31,0.33,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-06-10,29,17,22.1,29.5,17,22.2,17.5,77.4,0.4,100,16.67,rain,0,0,20.9,18,209.1,1011.5,22.3,10,302.5,26.2,9,30,2022-06-10T04:37:17,2022-06-10T20:10:07,0.36,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain in the morning and afternoon.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-06-11,31,16,23.9,31,16,23.9,16.3,66.5,0,0,0,,0,0,30.6,18,55.4,1011.3,3.1,9.9,338.1,29.1,9,10,2022-06-11T04:37:05,2022-06-11T20:10:41,0.4,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-06-12,32,16,24.7,31,16,24.4,12.8,49.9,0,0,0,,0,0,53.6,28.8,53.7,1004.2,0,10,285.4,24.7,8,10,2022-06-12T04:36:56,2022-06-12T20:11:14,0.43,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-06-13,31,16,24.6,30.1,16,24.3,12.5,49.8,0,0,0,,0,0,51.1,32.4,67.7,1004.7,0.6,10,314.3,27.2,9,10,2022-06-13T04:36:49,2022-06-13T20:11:45,0.46,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-06-14,25,15,20.7,25,15,20.7,16,75.6,0,0,0,,0,0,32,18,74.1,1008.6,23.8,10,210.6,18.2,8,10,2022-06-14T04:36:45,2022-06-14T20:12:13,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"34929099999,URKK"
"Russia, Krasnodar",2022-06-15,27,17,21.4,27.9,17,21.4,18,82.2,6.5,100,25,rain,0,0,37.8,21.6,241.5,1011.9,43.9,10,289.5,24.9,9,30,2022-06-15T04:36:42,2022-06-15T20:12:39,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-06-16,27,17,22,26.7,17,21.9,13,60.9,0,0,0,,0,0,28.8,25.2,289.8,1016.5,38.1,10,349.4,30.2,9,10,2022-06-16T04:36:42,2022-06-16T20:13:04,0.56,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"34929099999,URKK"
"Russia, Krasnodar",2022-06-17,27,14,21,26.7,14,20.9,12.2,60.5,0,0,0,,0,0,15.8,14.4,130.5,1016.6,6.5,10,352.9,30.5,9,10,2022-06-17T04:36:44,2022-06-17T20:13:26,0.6,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-06-18,29,15,23,28,15,22.8,11.8,51.8,0,0,0,,0,0,20.9,14.4,353.6,1014.5,3.1,10,350.9,30.3,9,10,2022-06-18T04:36:49,2022-06-18T20:13:46,0.63,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-06-19,30,16,23.7,29.2,16,23.5,13.2,54.1,0,0,0,,0,0,31.3,18,11.4,1015,0,10,310.4,26.8,8,10,2022-06-19T04:36:56,2022-06-19T20:14:04,0.67,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-06-20,33,18,25.9,32.3,18,25.8,14.9,53.3,0,0,0,,0,0,25.9,14.4,1.6,1012.2,0.6,10,274.9,23.9,9,10,2022-06-20T04:37:05,2022-06-20T20:14:20,0.7,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-06-21,31,18,25.6,31.9,18,25.9,16.9,60.2,0,0,0,,0,0,46.4,18,208.7,1002.8,7.6,10,289.5,25.1,8,10,2022-06-21T04:37:16,2022-06-21T20:14:33,0.75,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-06-22,29,17,22.7,29.5,17,22.8,16.6,69.8,0.8,100,20.83,rain,0,0,60.8,25.2,276.5,1000.6,38.4,10,322.4,28.2,9,30,2022-06-22T04:37:29,2022-06-22T20:14:44,0.77,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain throughout the day.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-06-23,24,16,18.9,24,16,18.9,13.7,72.2,0.4,100,12.5,rain,0,0,49.3,25.2,214.2,1005.3,40.5,10,325.5,28.1,9,10,2022-06-23T04:37:45,2022-06-23T20:14:53,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-06-24,20,16,17.8,20,16,17.8,15.4,85.7,0.4,100,16.67,rain,0,0,47.9,21.6,187.7,1007.9,50.3,9.7,181.2,15.7,8,10,2022-06-24T04:38:03,2022-06-24T20:15:00,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-06-25,25,17,20.8,25,17,20.8,15.7,73.3,0.1,100,4.17,rain,0,0,40.7,25.2,90.4,1009.6,29.2,10,293.3,25.3,9,10,2022-06-25T04:38:23,2022-06-25T20:15:04,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-06-26,22,18,19.4,22,18,19.4,16.9,86,22.3,100,58.33,rain,0,0,42.1,25.2,44.2,1009.1,62.6,9,34.8,3,3,10,2022-06-26T04:38:45,2022-06-26T20:15:06,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-06-27,25,18,20.8,25,18,20.8,18.4,86.8,9.3,100,37.5,rain,0,0,34.9,21.6,55.8,1010.5,81,8.4,159,13.8,8,30,2022-06-27T04:39:09,2022-06-27T20:15:06,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-06-28,26,19,21.9,26,19,21.9,16.6,73.2,3.5,100,20.83,rain,0,0,40.3,25.2,50.6,1010.4,32.2,10,196.8,17.2,7,10,2022-06-28T04:39:35,2022-06-28T20:15:03,0.97,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-06-29,31,16,23.9,31,16,24,16,64.6,0,0,0,,0,0,34.9,21.6,45.9,1011.6,1.3,10,314.9,27.3,9,10,2022-06-29T04:40:03,2022-06-29T20:14:58,0,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-06-30,30,16,23.7,29.7,16,23.6,12.8,51.8,0,0,0,,0,0,41.8,21.6,34.8,1011.5,0,10,346,30,9,10,2022-06-30T04:40:33,2022-06-30T20:14:50,0.04,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-07-01,30,17,24.3,29,17,23.9,10.9,44.8,0,0,0,,0,0,27,21.6,51.5,1011.1,2.7,10,347.9,30.1,9,10,2022-07-01T04:41:04,2022-07-01T20:14:41,0.08,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-07-02,25,17,21.1,25,17,21.1,11.3,56.4,0,0,0,,0,0,40.7,21.6,5.8,1013.8,2.3,10,353.3,30.4,10,10,2022-07-02T04:41:38,2022-07-02T20:14:28,0.11,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-07-03,27,13,21.1,26.7,13,21,11.3,55.9,0,0,0,,0,0,32.4,14.4,321.6,1015.8,2.9,10,349.5,30.2,9,10,2022-07-03T04:42:14,2022-07-03T20:14:14,0.15,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-07-04,29,14,22.5,28.6,14,22.4,14,62.3,0,0,0,,0,0,25.6,14.4,200.9,1015.5,5,10,346.9,30,9,10,2022-07-04T04:42:51,2022-07-04T20:13:57,0.18,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-07-05,32,17,25,32,17,25,15.6,59.2,0,0,0,,0,0,29.9,14.4,178.5,1013.8,5.2,10,343.6,30,9,10,2022-07-05T04:43:30,2022-07-05T20:13:38,0.21,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-07-06,33,19,26.2,31.3,19,25.7,13.2,48.3,0,0,0,,0,0,48.6,25.2,63,1011.4,0,10,348.7,30.1,9,10,2022-07-06T04:44:11,2022-07-06T20:13:16,0.25,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-07-07,33,18,25.6,31.7,18,25.2,12.2,44.8,0,0,0,,0,0,47.9,25.2,64.4,1009.5,0,10,349.4,30.2,9,10,2022-07-07T04:44:53,2022-07-07T20:12:52,0.25,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-07-08,32,19,25.5,32,19,25.5,15,53.7,0,0,0,,0,0,21.6,18,91.1,1009.3,7.7,10,341.6,29.4,9,10,2022-07-08T04:45:37,2022-07-08T20:12:26,0.32,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-07-09,31,21,26.5,32.4,21,27.2,18.8,64.6,0.3,100,8.33,rain,0,0,24.1,18,235.7,1006.7,6.7,10,285.7,24.6,9,10,2022-07-09T04:46:23,2022-07-09T20:11:57,0.35,Rain,Clear conditions throughout the day with rain.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-07-10,33,21,25.8,35.3,21,26.7,19.9,72.1,3.1,100,29.17,rain,0,0,42.1,21.6,192.1,1001.7,16.5,10,315.3,27.1,9,30,2022-07-10T04:47:10,2022-07-10T20:11:26,0.38,Rain,Clear conditions throughout the day with rain.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-07-11,28,20,24.3,29.2,20,24.6,19.8,77.6,4.7,100,37.5,rain,0,0,41.4,28.8,225.2,1006.8,71.5,9.9,188.8,16.4,8,10,2022-07-11T04:47:58,2022-07-11T20:10:53,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-07-12,29,19,24.4,29.5,19,24.5,18.2,71,0,0,0,,0,0,21.6,18,192.8,1015.1,20,10,272.8,23.6,9,10,2022-07-12T04:48:48,2022-07-12T20:10:17,0.45,Clear,Partly cloudy throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-07-13,29,19,23.9,29.5,19,24.1,17.3,68.2,0,0,0,,0,0,21.6,14.4,114.9,1013.6,13.1,10,321.7,27.7,9,10,2022-07-13T04:49:39,2022-07-13T20:09:40,0.5,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-07-14,28,18,22.8,28,18,22.8,15.4,65.1,0,0,0,,0,0,43.6,25.2,278,1013.3,9.3,10,338.8,29.4,9,10,2022-07-14T04:50:32,2022-07-14T20:09:00,0.52,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-07-15,29,16,23.4,29.1,16,23.5,16,65.4,0,0,0,,0,0,38.2,18,63.8,1012.8,4.7,10,338.8,29.4,9,10,2022-07-15T04:51:26,2022-07-15T20:08:17,0.55,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-07-16,27,20,22.7,27.7,20,22.7,17,71.3,0.5,100,20.83,rain,0,0,38.9,18,34.4,1011.1,24.5,10,234,20.2,8,10,2022-07-16T04:52:20,2022-07-16T20:07:33,0.59,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-07-17,30,20,25.2,30.8,20,25.5,18,66.5,0,0,0,,0,0,20.5,14.4,135.2,1013.5,9,10,272.5,23.5,9,10,2022-07-17T04:53:17,2022-07-17T20:06:47,0.62,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-07-18,29,21,24.7,29.5,21,24.8,15.6,58.2,0,0,0,,0,0,37.8,28.8,309.6,1014.8,7.7,10,305.4,26.4,9,10,2022-07-18T04:54:14,2022-07-18T20:05:58,0.65,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-07-19,27,19,22.3,27.3,19,22.3,13.5,58.3,0,0,0,,0,0,43.2,25.2,66.6,1017.4,2.9,10,229.1,19.8,8,10,2022-07-19T04:55:12,2022-07-19T20:05:07,0.69,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-07-20,28,17,22.7,28.3,17,22.8,16.2,68.6,0,0,0,,0,0,25.2,18,136.5,1014.8,9.6,10,331.6,28.5,9,10,2022-07-20T04:56:11,2022-07-20T20:04:15,0.75,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-07-21,27,16,21.8,27.7,16,21.8,15.1,66.8,0.7,100,16.67,rain,0,0,48.6,28.8,262.6,1009.9,25.9,10,177.5,15.4,8,10,2022-07-21T04:57:11,2022-07-21T20:03:20,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-07-22,28,14,20.2,28,14,20.2,15.3,75.5,0.2,100,8.33,rain,0,0,51.1,28.8,236,1010.2,32.8,9.4,188.3,16.3,8,10,2022-07-22T04:58:12,2022-07-22T20:02:23,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-07-23,26,18,21.6,26,18,21.6,15.7,70.4,1.6,100,12.5,rain,0,0,46.1,36,266.3,1010.7,46.9,10,238.5,20.7,8,10,2022-07-23T04:59:14,2022-07-23T20:01:24,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-07-24,26,16,20.8,26,16,20.8,16.9,79.1,1,100,25,rain,0,0,32.4,25.2,240.9,1011.6,32.4,10,186,16.1,8,10,2022-07-24T05:00:17,2022-07-24T20:00:23,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-07-25,29,17,22,30.3,17,22.3,18,79.3,1.5,100,16.67,rain,0,0,43.2,21.6,234.3,1010.5,20.8,10,241.2,20.9,9,10,2022-07-25T05:01:21,2022-07-25T19:59:21,0.89,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-07-26,28,20,23.5,28.9,20,23.7,18.9,76.7,1,100,20.83,rain,0,0,38.9,25.2,216.4,1008.9,12,10,212.3,18.3,9,10,2022-07-26T05:02:25,2022-07-26T19:58:16,0.92,Rain,Clear conditions throughout the day with rain.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-07-27,28,17,22.7,28,17,22.7,16.7,71.4,0.5,100,8.33,rain,0,0,24.8,21.6,250.3,1010.4,27.7,10,229.4,19.9,9,10,2022-07-27T05:03:30,2022-07-27T19:57:10,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-07-28,29,16,23.4,29.1,16,23.4,16.3,67.5,0,0,0,,0,0,19.4,10.8,161.2,1013.9,5.6,10,321.6,27.7,9,10,2022-07-28T05:04:35,2022-07-28T19:56:02,0,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-07-29,32,18,25.7,33.5,18,26.1,17.9,64.6,0,0,0,,0,0,28.4,18,71.1,1013.8,3.8,10,317.9,27.4,9,10,2022-07-29T05:05:41,2022-07-29T19:54:52,0.02,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-07-30,35,20,27.5,35.8,20,28.4,18.7,61.3,0,0,0,,0,0,32.4,21.6,28,1010.7,6,10,313.8,27.1,9,10,2022-07-30T05:06:48,2022-07-30T19:53:40,0.06,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-07-31,34,20,26.8,36.1,20,27.7,18.7,62.5,0,0,0,,0,0,33.1,18,53.3,1007.2,0.6,10,314.1,27.2,9,10,2022-07-31T05:07:55,2022-07-31T19:52:26,0.09,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-08-01,32,21,25.8,34.9,21,26.8,19.8,70.9,0.6,100,20.83,rain,0,0,26.6,21.6,102.6,1005.8,19.3,9.7,278.7,24.2,8,60,2022-08-01T05:09:03,2022-08-01T19:51:11,0.13,Rain,Clear conditions throughout the day with rain.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-08-02,31,21,25.4,33.3,21,26.3,21.2,78.5,1.7,100,25,rain,0,0,43.6,25.2,190.3,1007.9,15.7,10,297.2,25.7,9,30,2022-08-02T05:10:11,2022-08-02T19:49:55,0.16,Rain,Clear conditions throughout the day with rain.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-08-03,30,21,25.7,32.6,21,26.5,20.7,75.4,0,0,0,,0,0,32,14.4,208.5,1010.6,21.7,10,276.7,23.8,8,10,2022-08-03T05:11:20,2022-08-03T19:48:36,0.2,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"34929099999,URKK"
"Russia, Krasnodar",2022-08-04,31,20,26,32.4,20,26.7,19.6,71,0,0,0,,0,0,21.6,14.4,235.9,1012.4,16.3,9.9,306.1,26.6,9,10,2022-08-04T05:12:29,2022-08-04T19:47:16,0.23,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-08-05,30,21,25.8,33.3,21,26.9,20.8,74.9,0.6,100,12.5,rain,0,0,23.4,21.6,38.2,1010.8,26.2,10,261.8,22.7,9,30,2022-08-05T05:13:38,2022-08-05T19:45:55,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-08-06,31,20,25.3,31.9,20,25.5,17.2,62.6,0,0,0,,0,0,46.8,28.8,78.1,1009.6,5,10,286.8,24.7,9,10,2022-08-06T05:14:48,2022-08-06T19:44:32,0.3,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-08-07,31,21,25.3,31.4,21,25.4,15.8,56.7,0,0,0,,0,0,58,36,74.9,1009.1,4.2,10,306,26.5,9,10,2022-08-07T05:15:57,2022-08-07T19:43:08,0.34,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-08-08,32,18,25.7,31.3,18,25.4,14.8,54.7,0,0,0,,0,0,59.4,28.8,74.5,1011.7,2.5,10,310.6,27,9,10,2022-08-08T05:17:08,2022-08-08T19:41:42,0.37,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-08-09,33,20,26.8,32,20,26.3,13.2,45.5,0,0,0,,0,0,60.5,32.4,71.8,1011.8,0,10,310.1,26.7,9,10,2022-08-09T05:18:18,2022-08-09T19:40:15,0.41,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
