name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Russia, Krasnodar",2022-05-16,22,10,16.5,22,10,16.5,7.8,59.4,0,0,0,,0,0,54.7,32.4,264.9,1016.1,2.3,10,218.3,18.8,8,10,2022-05-16T04:54:11,2022-05-16T19:47:31,0.5,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-05-17,21,12,16.5,21,12,16.5,11.4,72.5,0.5,100,20.83,rain,0,0,43.2,36,224.2,1015.4,22.7,10,208.7,18,8,10,2022-05-17T04:53:06,2022-05-17T19:48:38,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-05-18,21,11,16.6,21,11,16.6,10.6,69.6,1.4,100,16.67,rain,0,0,51.5,21.6,212.1,1010.8,7.6,10,209.4,17.9,9,10,2022-05-18T04:52:02,2022-05-18T19:49:45,0.58,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-05-19,16,10,13.5,16,10,13.5,8.6,73.1,0.3,100,8.33,rain,0,0,36.4,28.8,252.6,1015.8,47.2,10,188.6,16.5,6,10,2022-05-19T04:51:01,2022-05-19T19:50:51,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-05-20,19,10,14.5,19,10,14.5,10.4,77.4,0.4,100,8.33,rain,0,0,54,39.6,221.9,1019.1,39.4,9.9,234.3,20.2,8,10,2022-05-20T04:50:01,2022-05-20T19:51:57,0.65,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain in the morning and afternoon.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-05-21,21,12,16.3,21,12,16.3,8.7,62.5,0,0,0,,0,0,65.5,39.6,222.3,1016.9,0,10,301.9,26.1,9,10,2022-05-21T04:49:04,2022-05-21T19:53:01,0.68,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-05-22,25,10,18.2,25,10,18.2,8,55,1.3,100,12.5,rain,0,0,59.4,36,236.6,1005.3,4.9,10,340.2,29.4,9,10,2022-05-22T04:48:08,2022-05-22T19:54:04,0.75,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-05-23,19,12,15.1,19,12,15.1,11.5,80.2,1.2,100,20.83,rain,0,0,37.4,18,254.9,1004.5,50.8,10,287.2,24.7,8,10,2022-05-23T04:47:14,2022-05-23T19:55:07,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-05-24,15.1,10,13,15.1,10,13,11.2,88.9,14.4,100,66.67,rain,0,0,25.9,18,241.9,1010.7,62.1,9.9,100.5,8.8,5,10,2022-05-24T04:46:23,2022-05-24T19:56:08,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-05-25,22,8,14.5,22,6.1,14.3,9.7,75.8,0,0,0,,0,0,32.4,32.4,234.8,1018.4,14.9,10,274.7,23.7,8,10,2022-05-25T04:45:33,2022-05-25T19:57:09,0.82,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-05-26,23,9,16.9,23,9,16.9,9.4,66,0.2,100,4.17,rain,0,0,34.6,14.4,213,1019.2,8.1,9.9,328.5,28.4,9,10,2022-05-26T04:44:46,2022-05-26T19:58:08,0.86,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"34929099999,URKK"
"Russia, Krasnodar",2022-05-27,23,14,18,23,14,18,10.8,64.5,0,0,0,,0,0,28.8,25.2,253.3,1017.6,6.7,10,204.2,17.6,9,10,2022-05-27T04:44:00,2022-05-27T19:59:06,0.89,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-05-28,26,11,19,26,11,19,10.5,61.8,0,0,0,,0,0,26.3,10.8,165.6,1014.3,1.9,10,346.2,29.8,9,10,2022-05-28T04:43:17,2022-05-28T20:00:03,0.93,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
"Russia, Krasnodar",2022-05-29,28,13,20.8,27.8,13,20.8,13.2,65,0,0,0,,0,0,22.7,14.4,267.9,1013.2,1.7,10,343.1,29.6,9,10,2022-05-29T04:42:36,2022-05-29T20:00:58,0.96,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
